"l","m","n","a","omega1"
1,1,0,0.2,"-0.0065210229114983880290214228679989903863174002967320033933999109407549 - 0.0093595442504376093603493657500749469538526253892654431638167467146946i"
1,1,0,0.25,"-0.0084319197159608109172286811891081883179935249363137662573048617921682 - 0.0121956279649937605704287624075386867010000602205577092404179970789438i"
1,1,0,0.3,"-0.0104638215252017768265819190818135894824821701026974296133600295590842 - 0.0153154741864879535335057625358386487355445222322627283734375378466506i"
1,1,0,0.35,"-0.012627382793182559440204266385991088552309492189366558982888835137013 - 0.0187831813739400008552549859356571942478919227702708243238723493560451i"
1,1,0,0.4,"-0.0149398703485052315819738449479471943284715345493582932924369765111314 - 0.0226834383458241286125188393526935731592218051616048870062840391584304i"
1,1,0,0.45,"-0.017429155082693480024731045122663498651737982350758447841092149770983 - 0.027131197689567097531769089841259655228312493200586433345698910132934i"
1,1,0,0.5,"-0.020140740711162481420393605215952992184773771849883072643931239210666 - 0.03228742141719833371666268320095492593547556673901814808260074799074i"
1,1,0,0.55,"-0.023150518670656043642984429566722418215319819449773127830544253890503 - 0.03838580202321499112722287239815193793463205670806796950566991337978i"
1,1,0,0.6,"-0.026588832381797035975692561574755290676942549514426049693079063996101 - 0.045780403571380926686697636248558665595028236395858572619296915791097i"
1,1,0,0.65,"-0.030688165488117627455273270737061765433088067663512693010452485190158 - 0.055035791691601227213984786657346905232705584280771056098281637103275i"
1,1,0,0.7,"-0.035883722740761178445361119370059234735025910045362579448372553065699 - 0.067110440554891438409487442763946567774901236112320288345198976558554i"
1,1,0,0.75,"-0.04304337584030149996592158196159974485305589712290410564818588820996 - 0.08376606554725707786384332797372035580875791651625477045457911202842i"
1,1,0,0.8,"-0.05405322851907922015322150113558974256204832600460949508477738710863 - 0.10859977157424104234777495842792802420725511841551117874295369370525i"
1,1,0,0.85,"-0.07355384895167000896916345790615857324712848931357310635155937625772 - 0.15013331020856526267129644960073683092683516885581959515580426283189i"
1,1,0,0.9,"-0.11544705827931211999267827831941426475968725736796431156464522520553 - 0.23387455297265448081164711185534544908623452179658795649755437539386i"
1,1,0,0.91,"-0.1297498013103603929377138917486535664522091083329166733077143743252 - 0.2618002158571032805914770868645889883924673229804116267910866228717i"
1,1,0,0.92,"-0.1476205026325237915183313774839630647012593580883984762556405961493 - 0.2965959047582927881675679402892198517030994096300664780131008027937i"
1,1,0,0.93,"-0.1704022692114901064463575660381680251228437095232660689828426297182 - 0.341049855698792858372565969621871680415664642074539888139499945075i"
